Name	DotS Type	In-Game Name	Description	Effects Description	Title Type	Transferable ?	Ancillary Image	Exclude Bearers of These Ancillaries	Exclude These Cultures	Title Class (1-6) Q is special	Effects (separated by comma)
eda_reference_name	eda_DotS_Type	@ancillary_name_display	@ancillary_description	@ancillary_effects_description	eda_type	eda_transferable	eda_image	eda_excluded_ancillaries	eda_excluded_cultures	eda_NOTATION_WIP	#eda_effects
Aragonese_Admiral	-	Almirall	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Aragonese_Admiral.tga	-	-	QA	NavalCommand +1 MovementPoints +30
Aragonese_Chancellor	-	Canciller	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Court	1	Aragonese_Chancellor.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
Aragonese_Royal_notary	-	Notario Reial	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Aragonese_Royal_Notary.tga	-	-	QS	Loyalty +2, TaxCollection +25, Law +1, TroopMorale +1, TrainingUnits -1
Aragonese_steward	-	Majordom	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Aragonese_Steward.tga	-	-	QMY	Loyalty +2, TaxCollection +25, Law +1, Construction -1, Farming +1
Sancho_Ramirez_Bio	-	Sancho Ramírez	Sancho Ramírez was King of Aragon from 1063 (though not formally until 1076) and King of Navarre (from 1076, as Sancho V). Between 1067 and 1068, the War of the Three Sanchos involved him in a conflict with his first cousins, both also named Sancho, in which Sancho of Castile defeated Sancho IV of Navarre and Sancho Ramírez, retaking a number of territories from the two. Sancho Ramírez followed his father's practice of not using the royal title early in his reign, though his state had become fully independent. This changed in 1076, when Sancho IV of Navarre was murdered, prompting a succession crisis in this neighbouring kingdom that represented Aragon's nominal overlord. The crisis was resolved by partition, and Sancho Ramírez was elected King of Navarre. From this time Sancho referred to himself as king not only of Navarre but also of Aragon.	No effect	Naval	0	civil_admin.tga	-	-	n/a	-
Ermengol_Bio	-	Ermengol IV	Ermengol IV, called el de Gerb or Gerp, was the Count of Urgell from 1066. He was the son of Ermengol III and Clemencia, daughter of Bernard II of Bigorre. Ermengol inherited Urgell when he was only ten years old and ruled under the tutelage of the countess dowager, Sancha, third wife of his father, until he was twelve. During this brief minority, the nobility took the opportunity to plunder and occupy the comital demesne. It was not until 1075 that Ermengol was in control of his county and his nobles. Ermengol was an active count. During his reign Urgell profited economically by receiving exiles from Lleida and Fraga. Ermengol was a firm supporter of the contemporary Gregorian reform of the Church, which he introduced to Urgel. In 1077 Ermengol married Lucy, daughter of Bernard I of La Marche. With her he had his son and heir, Ermengol V. 	No Effect	Naval	0	civil_admin.tga	-	-	n/a	-
Early_Aragonese_Royal_Chamberlain	-	Cambrer Major	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Early_Aragonese_Royal_Chamberlain.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
King_of_Aragon	-	Rex Aragoniæ	Crowned King of Aragon	PLACEHOLDER EFFECTS DESCRIPTION	Politics	0	King_of_Aragon.tga	-	-	5	Authority +3, TrainingUnits -2, Construction -2, BattleSurgery +3, TroopMorale +2
Late_Aragonese_Royal_Chamberlain	-	Camarlench	PLACEHOLDER DESCRIPTION	PLACEHOLDER EFFECTS DESCRIPTION	Politics	1	Late_Aragonese_Royal_Chamberlain.tga	-	-	QC	 MovementPoints -100, Loyalty +1, Farming +2, TaxCollection +50, Law +2
