Trigger Description	Trigger Reference Name	Event When to Test	Ancillary to Award	Chance	Base Condition	Conditions (separated by comma)
eda_Trigger_Description	eda_trigger	eda_event	eda_ancillary	eda_chance	eda_base_condition	#eda_conditions
-	Aragonese_Admiral_trigger	PostBattle	Aragonese_Admiral	100	IsAdmiral	FactionType aragon, not FactionwideAncillaryExists Aragonese_Admiral, not HasAncType Politics, Attribute NavalCommand >= 3
-	Aragonese_Chancellor_trigger	CharacterTurnEndInSettlement	Aragonese_Chancellor	100	AgentType = priest	not IsFactionLeader, not IsFactionHeir, FactionType aragon, not HasAncType Politics, not FactionwideAncillaryExists Aragonese_Chancellor, Attribute Loyalty >= 5
-	Aragonese_Royal_notary_trigger	CharacterTurnEndInSettlement	Aragonese_Royal_notary	100	IsFactionLeader	not IsFactionLeader, not IsFactionHeir, FactionType aragon, not FactionwideAncillaryExists Aragonese_Royal_notary
-	Aragonese_steward_trigger	CharacterTurnEndInSettlement	Aragonese_steward	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType aragon, not HasAncType Politics, Attribute Loyalty >= 6, Attribute Authority >= 1
-	Early_Aragonese_Royal_Chamberlain_trigger	CharacterTurnEndInSettlement	Early_Aragonese_Royal_Chamberlain	70	IsFactionLeader	FactionType aragon, not IsFactionLeader, not IsFactionHeir, not HasAncType politics, Attribute Loyalty >= 6, Attribute Authority >= 1, not FactionwideAncillaryExists Early_Aragonese_Royal_Chamberlain
-	King_of_Aragon_trigger	CharacterTurnEndInSettlement	King_of_Aragon	100	IsFactionLeader	FactionReligion catholic, Attribute Command >= 2, Attribute Authority >= 4, not I_WorldwideAncillaryExists King_of_Aragon, EndedInSettlement, SettlementName Jaca_Province
-	Late_Aragonese_Royal_Chamberlain_trigger	CharacterTurnEndInSettlement	Late_Aragonese_Royal_Chamberlain	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType aragon, Attribute Loyalty >= 4, Attribute Piety >= 4, I_TurnNumber >= 520, not HasAncType politics, not FactionwideAncillaryExists Late_Aragonese_Royal_Chamberlain, EndedInSettlement, SettlementName Jaca_Province
-	Order_of_the_stole_trigger	PostBattle	Order_of_the_stole	10	IsGeneral	FactionType aragon, not IsFactionLeader, not IsFactionHeir, Attribute Command >= 2, Attribute Loyalty >= 3, not HasAncType Security, I_TurnNumber >= 646
						
-	2nd_in_Command_trigger	CharacterTurnEndInSettlement	2nd_in_Command	100	IsGeneral	FactionType byzantium, not HasAncType Politics, Attribute Command >= 5, Attribute Loyalty >= 6, Attribute Authority >= 1, not FactionwideAncillaryExists 2nd_in_Command, not IsFactionLeader, not IsFactionHeir, 
-	Admiral_of_France_trigger	PostBattle	Admiral_of_France	100	IsAdmiral	FactionType france, not FactionwideAncillaryExists Admiral_of_France, not HasAncType Politics, Attribute NavalCommand >= 3
-	Admiral_of_Portugal_trigger	PostBattle	Admiral_of_Portugal	100	IsAdmiral	FactionType portugal, not FactionwideAncillaryExists Admiral_of_Portugal, not HasAncType Politics, Attribute NavalCommand >= 3
-	Admiral_of_the_Seas_trigger	PostBattle	Admiral_of_the_Seas	100	IsAdmiral	FactionType spain, not FactionwideAncillaryExists Admiral_of_the_Seas, not HasAncType Politics, Attribute NavalCommand >= 3
-	Albanian_Slayer_trigger	ExterminatePopulation	Albanian_Slayer	100	IsGeneral	FactionType byzantium, Attribute Dread >= 5, not FactionwideAncillaryExists Albanian_Slayer,  EndedInSettlement, Settlement Name Durres_Province
-	Antipapa_trigger	CharacterTurnEndInSettlement	Antipapa	100	AgentType = priest	FactionType hre, FactionExcommunicated, not IsFactionLeader, not IsFactionHeir, HasAncType Magic, not FactionwideAncillaryExists Antipapa
-	Arch_Chamberlain_of_the_Empire_trigger	CharacterTurnEndInSettlement	Arch_Chamberlain_of_the_Empire	80	IsGeneral	FactionType hre, not IsFactionLeader, not IsFactionHeir, not FactionwideAncillaryExists Arch_Chamberlain_of_the_Empire,  Attribute Loyalty >= 6, Attribute Authority >= 2, Attribute Command>= 1, EndedInSettlement, SettlementName  Magdeburg_Province, TimeInRegion > 3,
-	Arch_Chancellor_of_Burgundy_trigger	CharacterTurnEndInSettlement	Arch_Chancellor_of_Burgundy	80	AgentType = priest	FactionType hre, EndedInSettlement, SettlementName Trier_Province, not FactionwideAncillaryExists Arch_Chancellor_of_Burgundy, Attribute piety >= 6, TimeInRegion > 2,
-	Arch_Chancellor_of_Italy_trigger	CharacterTurnEndInSettlement	Arch_Chancellor_of_Italy	80	AgentType = priest	FactionType hre, EndedInSettlement, SettlementName Cologne_Province, not FactionwideAncillaryExists Arch_Chancellor_of_Italy,  Attribute piety >= 6, TimeInRegion > 2,
-	Arch_steward_of_the_Empire_trigger	CharacterTurnEndInSettlement	Arch_steward_of_the_Empire	80	IsGeneral	FactionType hre, not IsFactionLeader, not IsFactionHeir, not FactionwideAncillaryExists Arch_Chamberlain_of_the_Empire,  Attribute Command>= 4, Attribute Loyalty >= 8, Attribute Authority >= 2,  EndedInSettlement, SettlementName Regensburg_Province, TimeInRegion > 3,
-	Archbishop_of_Lyon_trigger	CharacterTurnEndInSettlement	Archbishop_of_Lyon	100	AgentType = priest	FactionReligion catholic, Attribute piety >= 6, EndedInSettlement, SettlementName Lyon_Province, not FactionwideAncillaryExists Archbishop_of_Lyon
-	Archcupbearer_of_the_Empire_trigger	CharacterTurnEndInSettlement	Archcupbearer_of_the_Empire	100	IsFactionLeader	FactionType bohemia, DiplomaticStanceFromFaction hre > Allies, not FactionwideAncillaryExists Archcupbearer_of_the_Empire
-	ArchDuke_of_Austria_trigger	CharacterTurnEndInSettlement	ArchDuke_of_Austria	100	IsGeneral	FactionReligion catholic, EndedInSettlement, SettlementName Vienna_Province, TimeInRegion > 1, not FactionwideAncillaryExists ArchDuke_of_Austria, Attribute Loyalty >= 6, Attribute Command>= 2, Attribute Authority>= 1, 
-	ArchMarshall_of_the_Empire_trigger	CharacterTurnEndInSettlement	ArchMarshall_of_the_Empire	60	IsGeneral	FactionType hre, not IsFactionLeader, not IsFactionHeir, not FactionwideAncillaryExists ArchMarshall_of_the_Empire, EndedInSettlement, SettlementName Bremen_Province, Attribute Loyalty >= 7, Attribute Command>= 4, Attribute Authority>= 1,
-	Armenian_Marshall_trigger	CharacterTurnEndInSettlement	Armenian_Marshall	70	IsGeneral	FactionType armenia, not IsFactionLeader, not IsFactionHeir, Attribute Command >= 4, Attribute Loyalty >= 5, not FactionwideAncillaryExists Armenian_Marshall
-	Autocrat_trigger	CharacterTurnEndInSettlement	Autocrat	100	IsFactionLeader	FactionType armenia, Attribute Command >= 5, Attribute Authority >= 5, Attribute piety >= 5, not FactionwideAncillaryExists Autocrat, SettlementsTaken = 4,
-	Bailiff_of_Roden_trigger	CharacterTurnEndInSettlement	Bailiff_of_Roden	80	IsGeneral	FactionType sweden, not IsFactionLeader, not IsFactionHeir, FactionType sweden, not FactionwideAncillaryExists Bailiff_of_Roden, EndedInSettlement, SettlementName Uppsala_Province, TimeInRegion > 1, not HasAncType Politics, 
-	Balcanifer_trigger	CharacterTurnEndInSettlement	Balcanifer	20	IsGeneral	FactionReligion catholic, not HasAncType Religion, FactionBuildingExists templar, Attribute Command >= 3, Attribute Piety >= 4, Attribute Chivalry >= 4, not WorldwideAncillaryExists Balcanifer
-	Banner_Bearer_trigger	CharacterTurnEndInSettlement	Banner_Bearer	80	IsGeneral	FactionType aragon, not IsFactionLeader, not IsFactionHeir, not HasAncType Politics, not FactionwideAncillaryExists Banner_Bearer, Attribute Command >= 4, Attribute Loyalty >= 5,
-	Bishop_of Costello_trigger	CharacterComesOfAge	Bishop_of_Costello	100	AgentType = priest	FactionReligion catholic, not FactionwideAncillaryExists Bishop_of_Costello, EndedInSettlement, SettlementName Venice_Province, Attribute piety >= 5,
-	Bishop_of_Castello_trigger	CharacterTurnEndInSettlement	Bishop_of_Castello	100	AgentType = priest	FactionReligion catholic, Attribute piety >= 4, EndedInSettlement, SettlementName Venice_Province, not FactionwideAncillaryExists Bishop_of_Castello,
-	bishops_bastard_trigger	CharacterComesOfAge	bishops_bastard	100	IsGeneral	FactionReligion catholic, FatherAnc prince_bishop,
-	Bulgar_Slayer_trigger	ExterminatePopulation	Bulgar_Slayer	100	IsGeneral	FactionType byzantium, Attribute Command >= 5, Attribute Dread >= 5, not FactionwideAncillaryExists Bulgar_Slayer, EndedInSettlement, Settlement Name Skopje_Province
-	Byzantine_Chancellor_trigger	CharacterTurnEndInSettlement	Byzantine_Chancellor	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, Attribute Loyalty >= 5, not FactionwideAncillaryExists Byzantine_Chancellor, EndedInSettlement, SettlementName Constantinople_Province, TimeInRegion > 3,
-	Byzantine_Duke_trigger	CharacterTurnEndInSettlement	Byzantine_Duke	100	IsGeneral	FactionType byzantium, not IsFactionLeader, not IsFactionHeir, Attribute Command >= 1, Attribute Loyalty >= 3, Attribute Authority >= 1, SettlementBuildingExists merchant_county
-	Byzantine_governor_of_Italy_trigger	CharacterTurnEndInSettlement	Byzantine_governor_of_Italy	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType byzantium, Attribute Command >= 2, Attribute Loyalty >= 5, Attribute Authority >= 1, EndedInSettlement, SettlementName Ancona_Province, SettlementName Taranto_Province, SettlementName Melfi_Province, SettlementName Palermo_Province, TimeInRegion > 1, SettlementBuildingExists = noble_region,
-	Byzantine_Kephale_trigger	CharacterTurnEndInSettlement	Byzantine_Kephale	100	IsGeneral	FactionType byzantium, not IsFactionLeader, not IsFactionHeir, Attribute Loyalty >= 2, not HasAncType politics, TimeInRegion > 10, SettlementBuildingExists Kephalatikion noble_estates
-	Byzantine_Lady_In_Waiting_trigger	CharacterTurnEndInSettlement	Byzantine_Lady_In_Waiting	100	AgentType = princess	FactionType byzantium, EndedInSettlement, SettlementName Constantinople_Province, TimeInRegion > 1,
-	Byzantine_Mayor_trigger	CharacterTurnEndInSettlement	Byzantine_Mayor	100	IsGeneral	not IsFactionLeader, not IsFactionHeir, FactionType byzantium, not HasAncType Politics, Attribute Loyalty >=4, Attribute Command <= 2, SettlementBuildingExists = noble_estates,
-	Byzantine_Prime_Minister_trigger	CharacterTurnEndInSettlement	Byzantine_Prime_Minister	80	IsGeneral	not IsFactionLeader, FactionType byzantium, not HasAncType politics, Attribute Loyalty >= 5, not FactionwideAncillaryExists Byzantine_Prime_Minister, EndedInSettlement, SettlementName Constantinople_Province, TimeInRegion > 1,
-	Byzantine_Slayer_trigger	CharacterTurnEndInSettlement	Byzantine_Slayer	100	IsGeneral	FactionType slave, Attribute Dread >= 5, not WorldwideAncillaryExists Byzantine_Slayer, EndedInSettlement, SettlementName Skopje_Province
