Factions	Character Notes	Sorting Order	Sub Faction	Name	Character Type	Character Gender	Status	Was leader?	age	x	y	Traits	Ancillaries	ARMIES (Max 20 units)
ds_characters_faction	@ds_character_notes	ds_ch_sort_order	ds_characters_subfaction	ds_characters_name	ds_characters_type	ds_characters_gender	ds_characters_status	ds_characters_past_leader	ds_characters_age	ds_characters_x	ds_characters_y	ds_characters_traits	ds_characters_ancillaries	#ds_characters_units
poland	poland	1	-	Wladyslaw Herman	named character	male, leader	-	-	36	241	291	-	-	polish_lords
armenia	armenia	1	-	Constantine	named character	male, leader	-	-	40	347	163	-	-	Peasants
aragon	aragon	1	-	Sancho	named character	male, leader	-	-	38	124	206	-	-	Peasants
bohemia	bohemia	1	-	Bedrich	named character	male, leader	-	-	40	212	269	-	-	Peasants
byzantium	byzantium	1	-	Adrianos	named character	male, leader	-	-	40	301	199	-	-	Peasants
cumans	cumans	1	-	Abaka	named character	male, leader	-	-	40	396	255	-	-	Peasants
denmark	denmark	1	-	Abel	named character	male, leader	-	-	40	196	317	-	-	Peasants
egypt	egypt	1	-	Ali	named character	male, leader	-	-	40	322	118	-	-	Peasants
england	england	1	-	Ailward	named character	male, leader	-	-	40	128	281	-	-	Peasants
france	france	1	-	Alain	named character	male, leader	-	-	40	142	259	-	-	Peasants
georgia	georgia	1	-	Bagrat_II	named character	male, leader	-	-	40	383	209	-	-	Peasants
hre	hre	1	-	Adolf	named character	male, leader	-	-	40	176	264	-	-	Peasants
hungary	hungary	1	-	Aba	named character	male, leader	-	-	40	237	246	-	-	Peasants
kiev	kiev	1	-	Aleksandr	named character	male, leader	-	-	40	303	274	-	-	Peasants
lithuania	lithuania	1	-	Aidas	named character	male, leader	-	-	40	270	311	-	-	Peasants
milan	milan	1	-	Adalberto	named character	male, leader	-	-	40	183	232	-	-	Peasants
moors	moors	1	-	Abbad	named character	male, leader	-	-	40	80	128	-	-	Peasants
norway	norway	1	-	Adam	named character	male, leader	-	-	40	158	362	-	-	Peasants
novgorod	novgorod	1	-	Svyatopolk Svyatopolkich	named character	male, leader	-	-	30	303	349	-	-	eastern knights
papal_states	papal_states	1	-	Adeodatus	named character	male, leader	-	-	40	204	203	-	-	Peasants
pisa	pisa	1	-	Adalberto	named character	male, leader	-	-	40	190	218	-	-	Peasants
portugal	portugal	1	-	Adriano	named character	male, leader	-	-	40	78	191	-	-	Peasants
scotland	scotland	1	-	Aed	named character	male, leader	-	-	40	109	323	-	-	Peasants
seljuks	seljuks	1	-	Abdullah	named character	male, leader	-	-	40	445	138	-	-	Peasants
sicily	sicily	1	-	Abelardo	named character	male, leader	-	-	40	209	175	-	-	Peasants
spain	spain	1	-	Alfonso Jimenez	named character	male, leader	-	-	42	97	197	-	-	Peasants
sweden	sweden	1	-	Inge Ingesson	named character	male, leader	-	-	28	202	342	-	-	Peasants
syria	syria	1	-	Achigh	named character	male, leader	-	-	40	350	143	-	-	Peasants
turks	turks	1	-	Abd_al_Hamid	named character	male, leader	-	-	40	292	178	-	-	Peasants
venice	venice	1	-	Agostino	named character	male, leader	-	-	40	202	231	-	-	Peasants
poland	poland	2	-	Mieszko Boleslawowic	named character	male, heir	-	-	11	243	270	-	-	polish_lords
aragon	aragon	2	-	Alfonso	named character	male, heir	-	-	20	119	209	-	-	Peasants
armenia	armenia	2	-	Gabriel	named character	male, heir	-	-	20	346	164	-	-	Peasants
bohemia	bohemia	2	-	Boleslav	named character	male, heir	-	-	20	227	265	-	-	Peasants
byzantium	byzantium	2	-	Aetios	named character	male, heir	-	-	20	288	202	-	-	Peasants
cumans	cumans	2	-	Abangis	named character	male, heir	-	-	20	389	230	-	-	Peasants
denmark	denmark	2	-	Agge	named character	male, heir	-	-	20	178	313	-	-	Peasants
egypt	egypt	2	-	Abbad	named character	male, heir	-	-	20	326	126	-	-	Peasants
england	england	2	-	Alain	named character	male, heir	-	-	20	136	290	-	-	Peasants
france	france	2	-	Alphonse	named character	male, heir	-	-	20	140	251	-	-	Peasants
georgia	georgia	2	-	Bagrat_III	named character	male, heir	-	-	20	383	208	-	-	Peasants
hre	hre	2	-	Alberich	named character	male, heir	-	-	20	168	266	-	-	Peasants
hungary	hungary	2	-	Akos	named character	male, heir	-	-	20	266	238	-	-	Peasants
kiev	kiev	2	-	Aleksei	named character	male, heir	-	-	20	307	283	-	-	Peasants
lithuania	lithuania	2	-	Alexander	named character	male, heir	-	-	20	270	312	-	-	Peasants
milan	milan	2	-	Adelmo	named character	male, heir	-	-	20	183	232	-	-	Peasants
moors	moors	2	-	Abbass	named character	male, heir	-	-	20	96	159	-	-	Peasants
norway	norway	2	-	Adrian	named character	male, heir	-	-	20	183	392	-	-	Peasants
novgorod	novgorod	2	-	Yaroslav Svyatopolkich	named character	male, heir	-	-	6	300	348	-	-	eastern knights
papal_states	papal_states	2	-	Agapetus	named character	male, heir	-	-	20	208	217	-	-	Peasants
pisa	pisa	2	-	Adelmo	named character	male, heir	-	-	20	195	219	-	-	Peasants
portugal	portugal	2	-	Afonso	named character	male, heir	-	-	20	79	192	-	-	Peasants
scotland	scotland	2	-	Aedan	named character	male, heir	-	-	20	111	335	-	-	Peasants
seljuks	seljuks	2	-	Abtin	named character	male, heir	-	-	20	400	142	-	-	Peasants
sicily	sicily	2	-	Ademaro	named character	male, heir	-	-	20	233	193	-	-	Peasants
syria	syria	2	-	Ali	named character	male, heir	-	-	20	354	162	-	-	Peasants
spain	spain	2	-	Ramiro de_Monzon	named character	male, heir	-	-	10	78	210	-	-	Peasants
sweden	sweden	2	-	Filip Halstensson	named character	male, heir	-	-	6	202	343	-	-	Peasants
turks	turks	2	-	Abd_al_Malik	named character	male, heir	-	-	20	306	193	-	-	Peasants
venice	venice	2	-	Albano	named character	male, heir	-	-	20	203	232	-	-	Peasants
poland	poland	3	-	Swietoslawa Kazimierzowic	character_record	female	alive	never_a_leader	40	-	-	-	-	-
aragon	aragon	3	-	Adela	character_record	female	alive	never_a_leader	40	-	-	-	-	-
armenia	armenia	3	-	Arda	character_record	female	alive	never_a_leader	40	-	-	-	-	-
bohemia	bohemia	3	-	Adleta	character_record	female	alive	never_a_leader	40	-	-	-	-	-
byzantium	byzantium	3	-	Adriane	character_record	female	alive	never_a_leader	40	-	-	-	-	-
cumans	cumans	3	-	Afina	character_record	female	alive	never_a_leader	40	-	-	-	-	-
denmark	denmark	3	-	Adela	character_record	female	alive	never_a_leader	40	-	-	-	-	-
egypt	egypt	3	-	Abla	character_record	female	alive	never_a_leader	40	-	-	-	-	-
england	england	3	-	Adela	character_record	female	alive	never_a_leader	40	-	-	-	-	-
france	france	3	-	Adela	character_record	female	alive	never_a_leader	40	-	-	-	-	-
georgia	georgia	3	-	Borena_A	character_record	female	alive	never_a_leader	40	-	-	-	-	-
hre	hre	3	-	Ada	character_record	female	alive	never_a_leader	40	-	-	-	-	-
hungary	hungary	3	-	Adelaide	character_record	female	alive	never_a_leader	40	-	-	-	-	-
kiev	kiev	3	-	Agafia	character_record	female	alive	never_a_leader	40	-	-	-	-	-
lithuania	lithuania	3	-	Aiste	character_record	female	alive	never_a_leader	40	-	-	-	-	-
milan	milan	3	-	Alessandra	character_record	female	alive	never_a_leader	40	-	-	-	-	-
moors	moors	3	-	Abla	character_record	female	alive	never_a_leader	40	-	-	-	-	-
norway	norway	3	-	Ada	character_record	female	alive	never_a_leader	40	-	-	-	-	-
novgorod	novgorod	42	-	Anna_a Uhorshhyna	character_record	female	alive	never_a_leader	40	-	-	-	-	-
papal_states	papal_states	3	-	Adriana	character_record	female	alive	never_a_leader	40	-	-	-	-	-
pisa	pisa	3	-	Alessandra	character_record	female	alive	never_a_leader	40	-	-	-	-	-
