Building	Capability	Capability Requirements
edb_building_capability	@edb_capability	edb_capability_requirements
abandonment_nomadic	religion_level bonus 3	-
abandonment_nomadic	cavalry_bonus 1	factions { hungary, }
abandonment_nomadic	happiness_bonus bonus 2	factions { hungary, }
abandonment_nomadic	population_growth_bonus bonus 6	factions { hungary, }
abandonment_nomadic	recruit_pool "szekelers" 1   0.3   2  0	factions { hungary, } and event_counter is_player_autonomy 0
abandonment_nomadic	trade_base_income_bonus bonus 4	resource dogs
Abbatia	agent_limit priest 1	-
Abbatia	law_bonus bonus 1	-
Abbatia	population_health_bonus bonus 1	-
Abbatia	religion_level bonus 2	-
Abbatia	trade_base_income_bonus bonus 1	-
Abbatia	agent priest 0	factions { denmark, england, france, norway, scotland, sweden,   bohemia, hre, hungary, poland,  aragon, milan, pisa, portugal, sicily, spain, venice, papal_states, } and  event_counter is_player_autonomy 0
acon	law_bonus bonus 1	-
acon	recruit_pool "cross" 1   0.3   2  0	factions { england, papal_states, } and hidden_resource british or hidden_resource london or hidden_resource levantine
acon	recruit_pool "st_thomas_knights"  1   0.3   2  0	factions { england, papal_states, } and hidden_resource british or hidden_resource london or hidden_resource levantine
acon	recruit_pool "st_thomas_longbowmen"  1   0.3   2  0	factions { england, papal_states, } and hidden_resource british or hidden_resource london or hidden_resource levantine
Agora	law_bonus bonus 2	factions { byzantium, slave, }
Agora	population_growth_bonus bonus 1	factions { byzantium, slave, }
Agora	trade_base_income_bonus bonus 2	factions { byzantium, slave, }
Akademia	stage_races 1	-
Akademia	free_upkeep bonus 4	factions { poland, slave, }
Akademia	happiness_bonus bonus 1	factions { poland, slave, }
Akademia	law_bonus bonus 6	factions { poland, slave, }
Akademia	population_growth_bonus bonus 3	factions { poland, slave, }
Akademia	retrain_cost_bonus bonus 1	factions { poland, slave, }
Akademia	trade_base_income_bonus bonus 4	factions { poland, slave, }
Akmenine	happiness_bonus bonus 6	-
Akmenine	law_bonus bonus 1	-
Akmenine	population_health_bonus bonus 5	-
Akmenine	recruits_exp_bonus bonus 2	-
Akmenine	recruits_morale_bonus bonus 2	-
Akmenine	religion_level bonus 5	-
Akmenine	stage_games 3	factions { lithuania, slave, }
Akmenine	recruit_pool "lithuanian_veterans"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
Akmenine	recruit_pool "lithuanian_werewolves"  1   0.3   2  0	factions { lithuania, slave, } and event_counter is_player_autonomy 0
al_ashari	happiness_bonus bonus 1	-
al_ashari	law_bonus bonus 2	-
al_ashari	population_health_bonus bonus 1	-
Al_Khilafah	construction_cost_bonus_stone bonus 10	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	construction_cost_bonus_wooden bonus 10	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	free_upkeep bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	law_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	population_growth_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	population_health_bonus bonus 3	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	recruits_exp_bonus bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
Al_Khilafah	retrain_cost_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
