Tree Name	Level Name	Level	City or Castle	Factions And/Or Cultures Required	Other Requirements (and / or) - see EDB (options)	wooden OR stone	Battle Building	Construction Time in Turns	Building Cost	Minimum Settlement Level	To, What, Level(s), Can, This, Building, Be, Upgraded?	Building Name on Battlemap	CENTRAL EUROPEAN	Full Description	Short Description	EASTERN EUROPEAN	Full Description	Short Description	GREEK	Full Description	Short Description	MIDDLE EASTERN	Full Description	Short Description	NORTHERN EUROPEAN	Full Description	Short Description	SOUTHERN EUROPEAN	Full Description	Short Description	STEPPE	Full Description	Short Description	ARAGON	Full Description	Short Description	ARMENIA	Full Description	Short Description	BOHEMIA	Full Description	Short Description	BYZANTIUM	Full Description	Short Description	CUMANS	Full Description	Short Description	DENMARK	Full Description	Short Description	EGYPT	Full Description	Short Description	ENGLAND	Full Description	Short Description	FRANCE	Full Description	Short Description	GEORGIA	Full Description	Short Description	HRE	Full Description	Short Description	HUNGARY	Full Description	Short Description	KIEV	Full Description	Short Description	LITHUANIA	Full Description	Short Description	MILAN	Full Description	Short Description	MOORS	Full Description	Short Description	NORWAY	Full Description	Short Description	NOVGOROD	Full Description	Short Description	PAPAL_STATES	Full Description	Short Description	PISA	Full Description	Short Description	POLAND	Full Description	Short Description	PORTUGAL	Full Description	Short Description	SCOTLAND	Full Description	Short Description	SELJUKS	Full Description	Short Description	SICILY	Full Description	Short Description	SLAVE	Full Description	Short Description	SPAIN	Full Description	Short Description	SWEDEN	Full Description	Short Description	SYRIA	Full Description	Short Description	TURKS	Full Description	Short Description	VENICE	Full Description	Short Description
edb_tech_tree_name	edb_buildings	edb_sorting_level	edb_city_castle	edb_building_required_factions_cultures	edb_building_other_requirements	edb_building_material	dbb_type	edb_building_construction_time	edb_building_cost	edb_building_settlement_min	#edb_building_upgrades	@battle_building_name	@building_name_central_european	@building_desc_central_european	@building_desc_short_central_european	@building_name_eastern_european	@building_desc_eastern_european	@building_desc_short_eastern_european	@building_name_greek	@building_desc_greek	@building_desc_short_greek	@building_name_middle_eastern	@building_desc_middle_eastern	@building_desc_short_middle_eastern	@building_name_northern_european	@building_desc_northern_european	@building_desc_short_northern_european	@building_name_southern_european	@building_desc_southern_european	@building_desc_short_southern_european	@building_name_steppe	@building_desc_steppe	@building_desc_short_steppe	@building_name_aragon	@building_desc_aragon	@building_desc_short_aragon	@building_name_armenia	@building_desc_armenia	@building_desc_short_armenia	@building_name_bohemia	@building_desc_bohemia	@building_desc_short_bohemia	@building_name_byzantium	@building_desc_byzantium	@building_desc_short_byzantium	@building_name_cumans	@building_desc_cumans	@building_desc_short_cumans	@building_name_denmark	@building_desc_denmark	@building_desc_short_denmark	@building_name_egypt	@building_desc_egypt	@building_desc_short_egypt	@building_name_england	@building_desc_england	@building_desc_short_england	@building_name_france	@building_desc_france	@building_desc_short_france	@building_name_georgia	@building_desc_georgia	@building_desc_short_georgia	@building_name_hre	@building_desc_hre	@building_desc_short_hre	@building_name_hungary	@building_desc_hungary	@building_desc_short_hungary	@building_name_kiev	@building_desc_kiev	@building_desc_short_kiev	@building_name_lithuania	@building_desc_lithuania	@building_desc_short_lithuania	@building_name_milan	@building_desc_milan	@building_desc_short_milan	@building_name_moors	@building_desc_moors	@building_desc_short_moors	@building_name_norway	@building_desc_norway	@building_desc_short_norway	@building_name_novgorod	@building_desc_novgorod	@building_desc_short_novgorod	@building_name_papal_states	@building_desc_papal_states	@building_desc_short_papal_states	@building_name_pisa	@building_desc_pisa	@building_desc_short_pisa	@building_name_poland	@building_desc_poland	@building_desc_short_poland	@building_name_portugal	@building_desc_portugal	@building_desc_short_portugal	@building_name_scotland	@building_desc_scotland	@building_desc_short_scotland	@building_name_seljuks	@building_desc_seljuks	@building_desc_short_seljuks	@building_name_sicily	@building_desc_sicily	@building_desc_short_sicily	@building_name_slave	@building_desc_slave	@building_desc_short_slave	@building_name_spain	@building_desc_spain	@building_desc_short_spain	@building_name_sweden	@building_desc_sweden	@building_desc_short_sweden	@building_name_syria	@building_desc_syria	@building_desc_short_syria	@building_name_turks	@building_desc_turks	@building_desc_short_turks	@building_name_venice	@building_desc_venice	@building_desc_short_venice
core_building	wooden_pallisade	1	city	all,	and event_counter is_player_autonomy 0	wooden	-	2	600	town	wooden_wall	Wooden Palisade	Wooden Palisade	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long.	Wooden Palisade	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long.	Wooden Palisade	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long.	Wooden Palisade	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long.	Wooden Palisade	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long.	Wooden Palisade	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade gives a sense of security but is unlikely to delay determined attackers for very long.	Negüdel	Nomadising, nomadic life, nomad camp. Gathering a group to go on the move was more difficult than just going on the move as a family, as nomads- the basic foundation of tribal kinship was the most essential building block of society. However organising a non-urbanised group into a socially-conscious force, designated as the core of a small settlement took some deliberate time and money to encourage.	Nomadising, nomadic life, nomad camp. Gathering a group to go on the move was more difficult than just going on the move as a family, as nomads- the basic foundation of tribal kinship was the most essential building block of society. However organising a non-urbanised group into a socially-conscious force, designated as the core of a small settlement took some deliberate time and money to encourage.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Chastokol	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade fence gives a sense of security but is unlikely to delay determined attackers for very long.	-	-	-	-	-	-	-	-	-	-	-	-	Chastokol	A wall of sharpened stakes gives some security, stops livestock from straying and may delay a thief, but cannot hold out real attackers for very long. It is, however, cheap to build and doesn't require any special skills from the local peasants.	A Wooden Palisade fence gives a sense of security but is unlikely to delay determined attackers for very long.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Negüdel	Nomadising, nomadic life, nomad camp. Gathering a group to go on the move was more difficult than just going on the move as a family, as nomads- the basic foundation of tribal kinship was the most essential building block of society. However organising a non-urbanised group into a socially-conscious force, designated as the core of a small settlement took some deliberate time and money to encourage.	Nomadising, nomadic life, nomad camp. Gathering a group to go on the move was more difficult than just going on the move as a family, as nomads- the basic foundation of tribal kinship was the most essential building block of society. However organising a non-urbanised group into a socially-conscious force, designated as the core of a small settlement took some deliberate time and money to encourage.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_building	wooden_wall	2	city	all,	and event_counter is_player_autonomy 0	wooden	-	2	1000	large_town	stone_wall	Wooden Wall	Wooden Wall	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	Wooden Wall	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	Wooden Wall	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	Wooden Wall	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	Wooden Wall	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	Wooden Wall	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	Baghuca	Encampment, site of a camp, foundation of a yurt. A recognised settlement-site was for nomads, an organisation that required money and planning. For nomads, a settlement was a point to return to regularly- not a point to stand and stay. To return to a point, it would be a recognised and well-developed trading point, a pre-ordained and well-known crossroads for traffic where festivals, taxation, military organisation and law would all be focussed. But the foundation of a gathering of yurts was a very simple operation for a nomadic people, it just required incentive.	Encampment, site of a camp, foundation of a yurt. A recognised settlement-site was for nomads, an organisation that required money and planning. For nomads, a settlement was a point to return to regularly- not a point to stand and stay. To return to a point, it would be a recognised and well-developed trading point, a pre-ordained and well-known crossroads for traffic where festivals, taxation, military organisation and law would all be focussed. But the foundation of a gathering of yurts was a very simple operation for a nomadic people, it just required incentive.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Derevyanniy kremnik	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	-	-	-	-	-	-	-	-	-	-	-	-	Derevyanniy kremnik	A rough wall of logs is a good deal stronger than a palisade and is enough to keep out bandits and other ruffians, but it still won't stop a really determined and organised attack. It does give a settlement a sense of permanence and identity, though.	A Wooden Wall allows defenders to guard from raised battlements, but is still very vulnerable to siege equipment.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Baghuca	Encampment, site of a camp, foundation of a yurt. A recognised settlement-site was for nomads, an organisation that required money and planning. For nomads, a settlement was a point to return to regularly- not a point to stand and stay. To return to a point, it would be a recognised and well-developed trading point, a pre-ordained and well-known crossroads for traffic where festivals, taxation, military organisation and law would all be focussed. But the foundation of a gathering of yurts was a very simple operation for a nomadic people, it just required incentive.	Encampment, site of a camp, foundation of a yurt. A recognised settlement-site was for nomads, an organisation that required money and planning. For nomads, a settlement was a point to return to regularly- not a point to stand and stay. To return to a point, it would be a recognised and well-developed trading point, a pre-ordained and well-known crossroads for traffic where festivals, taxation, military organisation and law would all be focussed. But the foundation of a gathering of yurts was a very simple operation for a nomadic people, it just required incentive.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_building	stone_wall	3	city	all,	and event_counter is_player_autonomy 0	stone	-	10	2000	city	large_stone_wall	Stone Wall	Stone Wall	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	Stone Wall	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	Stone Wall	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	Stone Wall	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	Stone Wall	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	Stone Wall	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	Baghudal	Station, camp, inn, halt, stop. A recognised gathering point for the nomads would draw them from afar if there was an infrastructure to pull them in, if trade would be worthwhile and guaranteed. The problem for the majority of nomads in moving to and fro well-known sites was the danger to banditry and raids from rival clans or tribes. If a settlement could guarantee the security of the outlying area then the caravans would come.	Station, camp, inn, halt, stop. A recognised gathering point for the nomads would draw them from afar if there was an infrastructure to pull them in, if trade would be worthwhile and guaranteed. The problem for the majority of nomads in moving to and fro well-known sites was the danger to banditry and raids from rival clans or tribes. If a settlement could guarantee the security of the outlying area then the caravans would come.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Kamenniy kremnik	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	-	-	-	-	-	-	-	-	-	-	-	-	Kamenniy kremnik	Stone walls are substantial replacements for stakes and logs, as their cost shows. Better yet, they can be actively defended by warriors occupying the parapets, meaning only determined attackers can breach them with artillery fire or fight their way over them.	Building a Stone Wall greatly improves a settlement's ability to resist siege weapons over a wooden equivalent.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Baghudal	Station, camp, inn, halt, stop. A recognised gathering point for the nomads would draw them from afar if there was an infrastructure to pull them in, if trade would be worthwhile and guaranteed. The problem for the majority of nomads in moving to and fro well-known sites was the danger to banditry and raids from rival clans or tribes. If a settlement could guarantee the security of the outlying area then the caravans would come.	Station, camp, inn, halt, stop. A recognised gathering point for the nomads would draw them from afar if there was an infrastructure to pull them in, if trade would be worthwhile and guaranteed. The problem for the majority of nomads in moving to and fro well-known sites was the danger to banditry and raids from rival clans or tribes. If a settlement could guarantee the security of the outlying area then the caravans would come.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_building	large_stone_wall	4	city	all,	and event_counter is_player_autonomy 0	stone	-	20	4000	large_city	huge_stone_wall	Large Stone Wall	Large Stone Wall	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	Large Stone Wall	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	Large Stone Wall	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	Large Stone Wall	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	Large Stone Wall	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	Large Stone Wall	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	Küi	Hamlet of yurts, place of assembly of people of the same rank. Nomads could consider a settlement or camp as a well-established centre of power if the heads of various clans and tribes had gathered at the same point and could live in peace and agreement. Only under an authoritative figure of a great khan could this be achieved. 	Hamlet of yurts.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Bolyshaya kremnik	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	-	-	-	-	-	-	-	-	-	-	-	-	Bolyshaya kremnik	Large stone walls include strong towers and gatehouses, and give a real sense of security to a settlement. Properly manned, only a really organised attack will stand a chance of breaching these defences. Because of the expense, these walls are usually only built around rich or prestigious towns.	A Large Stone Wall is a truly formidable barrier, with extremely strong gate defences.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Küi	Hamlet of yurts, place of assembly of people of the same rank. Nomads could consider a settlement or camp as a well-established centre of power if the heads of various clans and tribes had gathered at the same point and could live in peace and agreement. Only under an authoritative figure of a great khan could this be achieved. 	Hamlet of yurts.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_building	huge_stone_wall	5	city	all,	and event_counter is_player_autonomy 0	stone	-	20	5000	huge_city	-	Huge Stone Wall	Huge Stone Wall	The sheer size of these magnificent defences is enough to awe the peasants who work in their shadow! These walls are extremely costly, but that price guarantees security against all but the most well-prepared besieging force. Thanks to strong towers, battlements and gatehouses, the defenders can make any assault a chancy business.	A Huge Stone Wall is awe-inspiring for defender and attacker alike, and no besieger attacks them lightly.	Huge Stone Wall	The sheer size of these magnificent defences is enough to awe the peasants who work in their shadow! These walls are extremely costly, but that price guarantees security against all but the most well-prepared besieging force. Thanks to strong towers, battlements and gatehouses, the defenders can make any assault a chancy business.	A Huge Stone Wall is awe-inspiring for defender and attacker alike, and no besieger attacks them lightly.	Huge Stone Wall	The sheer size of these magnificent defences is enough to awe the peasants who work in their shadow! These walls are extremely costly, but that price guarantees security against all but the most well-prepared besieging force. Thanks to strong towers, battlements and gatehouses, the defenders can make any assault a chancy business.	A Huge Stone Wall is awe-inspiring for defender and attacker alike, and no besieger attacks them lightly.	Huge Stone Wall	The sheer size of these magnificent defences is enough to awe the peasants who work in their shadow! These walls are extremely costly, but that price guarantees security against all but the most well-prepared besieging force. Thanks to strong towers, battlements and gatehouses, the defenders can make any assault a chancy business.	A Huge Stone Wall is awe-inspiring for defender and attacker alike, and no besieger attacks them lightly.	Huge Stone Wall	The sheer size of these magnificent defences is enough to awe the peasants who work in their shadow! These walls are extremely costly, but that price guarantees security against all but the most well-prepared besieging force. Thanks to strong towers, battlements and gatehouses, the defenders can make any assault a chancy business.	A Huge Stone Wall is awe-inspiring for defender and attacker alike, and no besieger attacks them lightly.	Huge Stone Wall	The sheer size of these magnificent defences is enough to awe the peasants who work in their shadow! These walls are extremely costly, but that price guarantees security against all but the most well-prepared besieging force. Thanks to strong towers, battlements and gatehouses, the defenders can make any assault a chancy business.	A Huge Stone Wall is awe-inspiring for defender and attacker alike, and no besieger attacks them lightly.	Huree	Consisted of 1,000 tent-families. To maintain such an economy the Mongol cattle-raisers had to move from place to place in separate ail or families. In the conditions of feudal division and internecine strife, the huree or ring-shaped disposition of families was widely used as a means of defence against surprise attack. The leader's tent was in the centre. According to Rashid-ad-Din, every huree consisted of 1,000 tent-families.	Consisting 1,000 tent families	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Huree	Consisted of 1,000 tent-families. To maintain such an economy the Mongol cattle-raisers had to move from place to place in separate ail or families. In the conditions of feudal division and internecine strife, the huree or ring-shaped disposition of families was widely used as a means of defence against surprise attack. The leader's tent was in the centre. According to Rashid-ad-Din, every huree consisted of 1,000 tent-families.	Consisting 1,000 tent families	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_castle_building	motte_and_bailey	1	castle	all,	-	wooden	-	2	1000	village	wooden_castle	Motte and Bailey	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_castle_building	wooden_castle	2	castle	all,	-	wooden	-	2	2000	town	castle	Wooden Castle	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_castle_building	castle	3	castle	all,	-	stone	-	3	3000	large_town	fortress	Castle	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
core_castle_building	fortress	4	castle	all,	-	stone	-	3	4000	city	citadel	Fortress	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	NOT USED	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
