Reference Name	English Names (more or less)	In-game Name (Native Name)	In-game Description	In-game Summary Description	Broad Role	Explanation of the Unit	Building to be Assigned To	Hidden Resource Req?	Availability	Where is the unit From?	Era of Availability	General Unit?	Social Class	Function	Formation	Equipment	First Weapon	Secondary Weapon	Placeholder Unit	Placeholder Weapons	Extra Info	Reference Imagery	Category	Class	Unit's voice	Accent	Banner of Faction	Crusade Banner	Unit Size	Soldier Model	Number of Soliders	Extra Animals Engines	Mass of Infantry	Officers Models			Type of Ship	Type of Engine	Type of Animals	Type of Mount	Bonus Against	Abilities	Misc Attributes	Normal Spacing	Loose Spacing	Default No. of Ranks	Formation (1-2)	hp	Mount hp	Primary Weapon Attack	Charge Bonus	Missile Type	Range	Ammo	Type	Tech	Damage	Sound	Fire Sound	Min Delay	Preferred Weapon	Attack vs Mounted	Defence vs Mounted	AP	Attack Attributes	Secondary Weapon Attack	Charge	Missile Type	Range	Ammo	Type	Tech	Damage	Sound	Fire Sound	Min Delay	Preferred Weapon	Attack vs Mounted	Defence vs Mounted	AP	Attack Attributes	Armour	Def Skill	Shield	Sound When Hit	Animal Mount Armour	Def Skill	Sound When Hit	Fatigue in Heat	Scrub Mod	Sand Mod	Forest Mod	Snow Mod	Grade of Unit (1-5)	Morale	Discipline	Training	Distance to Charge	Delay Between Anims	Suggested Price	Suggested Upkeep	Recruitment Time	Unit Price	Upkeep Cost	Weapon Upgrade Cost	Armour Upgrade Cost	Custom Battle Cost	Custom Battle Max	Custom Battle Increase	Minimum Soldiers	Smith Levels Needed	Models	Ownership Factions and/or Cultures	Ownership for MP Early Era	Ownership for MP High Era	Ownership for MP Late Era	Priority in Recruitment	Unit Speed Modificator
edu_type	@edu_English_Names	@edu_unit_name	@edu_unit_descr	@edu_unit_descr_short	edu_Role	@edu_Explanation	@edu_building_as	@edu_hr_as	edu_Availability	edu_Area	edu_Era	edu_general_unit	edu_Social_Class	edu_Function	edu_FormationEDUmatic	edu_Equipment	edu_First_Weapon	edu_Secondary_Weapon	edu_Placeholder_Unit	edu_Placeholder_Weapons	edu_Extra_Info	edu_Reference_Imagery	edu_category	edu_class	edu_voice_type	edu_accent	edu_banner_faction_type	edu_banner_holy_type	edu_Unit_size	edu_soldier_model	edu_soldier_number	edu_soldier_extra	edu_soldier_mass	!edu_officer_model	!edu_officer_model2	!edu_officer_model3	edu_ship_type	edu_engine_type	edu_animal_type	edu_mount_type	edu_mount_effect_bonus	edu_Abilities	edu_attributes	edu_formation_spacing	edu_formation_spacing_loose	edu_formation_ranks	edu_formations	edu_hp	edu_hp_mount	edu_pw_attack	edu_pw_charge	edu_pw_missile_type	edu_pw_range	edu_pw_ammo	edu_pw_type	edu_pw_tech	edu_pw_dmg	edu_pw_sound	edu_pw_fire_sound	edu_pw_delay	edu_pw_skeleton	edu_pw_att_mounted	edu_pw_def_mounted	edu_pw_ap	edu_pw_attributes	edu_sw_attack	edu_sw_charge	edu_sw_missile_type	edu_sw_range	edu_sw_ammo	edu_sw_type	edu_sw_tech	edu_sw_dmg	edu_sw_sound	edu_sw_fire_sound	edu_sw_delay	edu_sw_skeleton	edu_sw_att_mounted	edu_sw_def_mounted	edu_sw_ap	edu_sw_attributes	edu_armour	edu_def_skill	edu_shield	edu_armour_sound	edu_sec_armour	edu_sec_def_skill	edu_sec_sound	edu_stat_heat	edu_scrub	edu_sand	edu_forest	edu_snow	edu_Grade	edu_morale	edu_discipline	edu_training	edu_stat_charge_distance	edu_stat_fire_delay	edu_Suggested_Price	edu_Suggested_Upkeep	edu_recruitment_time	edu_price	edu_upkeep	edu_wpn_up_cost	edu_arm_up_cost	edu_custom_cost	edu_custom_max	edu_custom_increase	edu_min_soldiers	edu_armour_ug_levels	edu_armour_ug_models	edu_ownership	edu_era0	edu_era1	edu_era2	edu_ai_recruitment_offset	edu_speed_mod
berber_skirmishers	Berber Jinettes	al-Zenati	The cavalry on which the Spanish jinetes were based	PLACEHOLDER HORSE ARCHERS	horse archers	fast javelin cavalry, skilled	-	-	Regional	Tunisia, Algeria	-	yes	0	miltia		BASE:unarmored, UP1: , UP2: , UP3: , SHIELD: , HELMET: 	Assegai javelin	Takouba	-	-	-	http://images.imagestate.com/Watermark/233-4-6.jpg	cavalry	missile	light	English	main_missile	-	-	Cuman_Horse_Archers	32	0	1	-	-	-	-	-	-	fast pony	elephant -4, camel -4	-	sea_faring, hide_forest, can_withdraw, cantabrian_circle, mercenary_unit, general_unit	2, 4.4	3, 6	3	square	1	0	6	1	cav_composite_arrow	125	25	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	6	2	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	3	0	flesh	0	0	flesh	0	0	0	-6	1	-	3	normal	untrained	45	0	-	-	1	380	180	90	70	380	4	90	-	0	Cuman_Horse_Archers	all, slave	all, slave	all, slave	all, slave	-	1
egyptian_infantry	Abid al-Shira	Abid al-Shira	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	Sub-Saharan African slave soldiers	-	-	Egypt	-	-	-	0	superior		BASE:mail, UP1: , UP2: , UP3: , SHIELD: large round shield, HELMET: 	Javelin	Sayf	-	-	-	-	infantry	spearmen	light	English	main_spear	-	-	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	1000	700	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	egypt	egypt	egypt	egypt	-	1
egyptian_macemen	Lutat Macemen	Mashshain al-Khanjari al-Lutati	PLACEHOLDER HEAVY INFANTRY	PLACEHOLDER HEAVY INFANTRY	heavy infantry	Sub-Saharan African slave soldiers armed with two-handed maces	-	-	Egypt	-	-	-	0	superior		BASE:mail, UP1: , UP2: , UP3: , SHIELD: , HELMET: 	two-handed mace	-	-	-	-	-	infantry	heavy	heavy	English	main_infantry	-	-	Dismounted_Feudal_Knights	48	0	1.2	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, hardy, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	3	square	1	0	13	3	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	7	8	6	metal	0	0	flesh	5	1	-2	3	2	-	9	normal	trained	30	0	1500	875	1	570	225	90	70	570	4	140	-	3, 4	Dismounted_Feudal_Knights	egypt	egypt	egypt	egypt	-	1
Peasants	Peasants	Peasants	Peasants	Peasants	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	infantry	light	light	English	main_infantry	-	-	Peasants	60	0	0.8	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, is_peasant, peasant, general_unit, mercenary_unit	1.2, 1.2	2.4, 2.4	6	square	1	0	4	0	no	0	0	melee	melee_simple	piercing	spear	,	25	0.6	-	-	-	no	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	3	0	flesh	0	0	flesh	2	1	-2	3	2	-	1	low	untrained	30	0	-	-	1	1	110	90	65	50	4	20	-	0	Peasants	all, slave	all, slave	all, slave	all, slave	-	1
communes_shieldbearers	Shield carriers	Scudieri	PLACEHOLDER LIGHT INFANTRY	PLACEHOLDER LIGHT INFANTRY	light infantry	Infantry with small shields and swords	-	-	cl & ct	northern Italy	High	-	freeman	militia		BASE:brigandine, UP1: mail, UP2: full mail, UP3: heavy mail/Partial plate, SHIELD: oval, HELMET: yes	estoc	none	Sword and Buckler men tier1	sword	-	http://www.thearma.org/arttalk/I33.jpg	infantry	spearmen	light	English	main_spear	-	100	Levy_Spearmen	60	0	1	-	-	-	-	-	-	-	-	spear wall?	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	5	square, schiltrom	1	0	5	2	no	0	0	melee	melee_blade	piercing	spear	,	25	0.6	-	-	-	spear, spear_bonus_8	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	0	1	6	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	1000	700	1	310	125	75	60	310	4	70	-	0, 1, 2, 3	Levy_Spearmen	milan, pisa	milan, pisa	milan, pisa	milan, pisa	-	1
mongol_lancers	The Already Dead (Suicide troops)	Mangudai	The Mangudai or Mungadai were a military unit of the Mongol Empire, but sources differ wildly in their descriptions.  Some source's make reference to Mongol light cavalry 'suicide troops' date back to the 13th. century.  While Marco Polo believed that the Men-gu-dai was a singular persona.  The most likely explanation of the Mangudai is as follows: Mangudai when translated means literally 'God belonging', and could be understood as 'already with God'. Meaning 'already dead', a smart way to think of yourself when you are acting as a lure to the enemy.  Mangudai ranks were made wholly of volunteers - in a society with a fierce warrior ethic, the chance to prove your bravery was highly coveted.  It may also be noted that some historians believe that these men came from two specific Mongol tribes, the Uru'ut and Maghut, known for there utter fearlessness.  But essentially, the Mangudai were suicide troops.  When an enemy force was located, the Mangudai armed only with bows, arrows and light shield and armor, would ride ahead of the main force and attack the foe recklessly.  Enticing the  enemy to chase when they realized that the Mangudai's numbers were quite few, luring them into a well planned trap.  This strategy would be used to devastating effect at the battle of Leignitz.    	PLACEHOLDER HORSE ARCHERS	horse archers	light lancer/archers, pretty commando	-	-	Cumans (Mongol Transition), Seljuks (Mongol Transition)	Russian steppes/asia	Mongol era	-	freeman	elite		BASE:lamellar /scale with silk undercoat, UP1: Reinforced lamellar /scale with silk undercoat, UP2: Reinforced lamellar /scale with silk undercoat (w/ ME flare), UP3: none, SHIELD: Bambai, HELMET: yes	Nomad bow	scimitar/metalheaded mace	-	-	-	-	cavalry	missile	light	English	main_missile	-	200	Cuman_Horse_Archers	32	0	1	-	-	-	-	-	-	fast pony	elephant -4, camel -4	morale boost/increasing fighting -used once  High moral, excelent stamina, fast, armour piercing	sea_faring, hide_forest, can_withdraw, cantabrian_circle, mercenary_unit, general_unit	2, 4.4	3, 6	3	square	1	0	6	1	cav_composite_arrow	125	25	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	6	2	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	3	0	flesh	0	0	flesh	0	0	0	-6	1	-	3	normal	untrained	45	0	-	-	1	380	180	90	70	380	4	90	-	0	Cuman_Horse_Archers	cumans, seljuks	cumans, seljuks	cumans, seljuks	cumans, seljuks	-	1
alan_horse_archers	Alan guard	Assud Khishigten	The Asuud guard were a guard and military group of Alani origin. The Mongol clan Asud is the plural of As, the Arabic name for the Alans. After the Mongol invasion of Rus, many Alans submitted to the Mongol Empire and served the Mongol monarchs as auxiliaries in battle after the Mongol invasion of Volga Bulgaria in 1236; they participated in the Mongol invasion of Europe. Many warriors moved from Northern Caucasa to Mongolia. Under the rule of Mongke Qan, they fought against the Chinese Song Dynasty and Nanchao in Yunnan in 1258-1259. The Alan imperial guard was divided into 2 corps with headquarters in Karakorum. After the coronation of Qubilai Qan, those Alans participated in the campaign against Ariq Boke and later Qaidu under the Yuan Dynasty. They suffered heavy losses from Song resistance when they were under the command of Bayan of the Baarin and Aju. Qubilai Qan organized them into the Jasin guard (Alan guard) of 3,000 soldiers around 1271, along with some of the Kipchaks. The Alani guard reached its peak during the reign of Tugh Temur and their number expanded to 30,000.	PLACEHOLDER HORSE ARCHERS	horse archers	heavy Alanic horse, cheap	-	-	Cumans (Mongol Transition), Seljuks (Mongol Transition)	Russian steppes/north causus	Mongol era	yes	freemen	elite		BASE:lamellar /scale, UP1: upgraded lamellar /scale with silk undercoat, UP2: Reinforced lamellar /scale with silk undercoat, UP3: Reinforced lamellar /scale with silk undercoat (w/ ME flare), SHIELD: Bambai, HELMET: yes	Nomad bow	Lanzalonga	-	-	-	-	cavalry	missile	light	English	main_missile	-	250	Cuman_Horse_Archers	32	0	1	-	-	-	-	-	-	fast pony	elephant -4, camel -4	High moral, strong charge, excelent stamina, armor piercing, fast	sea_faring, hide_forest, can_withdraw, cantabrian_circle, mercenary_unit, general_unit	2, 4.4	3, 6	3	square	1	0	6	1	cav_composite_arrow	125	25	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	6	2	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	3	0	flesh	0	0	flesh	0	0	0	-6	1	-	3	normal	untrained	45	0	-	-	1	380	180	90	70	380	4	90	-	0	Cuman_Horse_Archers	cumans, seljuks, hungary, byzantium	cumans, seljuks, hungary, byzantium	cumans, seljuks, hungary, byzantium	cumans, seljuks, hungary, byzantium	-	1
almohad_archers	Almohad Archers	Rumat al-Murtaziqa	PLACEHOLDER ARCHER UNIT	PLACEHOLDER ARCHER UNIT	archers	high quality salaried archers	-	-	Moors (Almohads)	-	-	-	freemen	superior		BASE:unarmored, UP1: padded or leather, UP2: none, UP3: none, SHIELD: , HELMET: 	composite bow	Takouba	-	-	-	-	infantry	missile	light	English	main_missile	-	-	Peasant_Archers	48	0	0.8	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	4	square	1	0	5	1	arrow	120	30	missile	missile_mechanical	piercing	none	,	25	1	-	-	-	no	2	1	no	0	0	melee	melee_simple	piercing	knife	,	25	1.8	-	-	-	no	0	1	0	flesh	0	0	flesh	2	1	-2	3	2	-	3	normal	trained	30	0	1100	800	1	220	100	65	50	220	4	50	-	0, 1, 2	Peasant_Archers	moors	moors	moors	moors	-	1
almohad_black_guard	Black Guard	Hasham	PLACEHOLDER HEAVY INFANTRY	PLACEHOLDER HEAVY INFANTRY	heavy infantry	slave soldiers	-	-	Moors (Almoravids)	-	-	yes	freemen	elite		BASE:padded or leather, UP1: mail, UP2: none, UP3: none, SHIELD: , HELMET: 	Assegai javelin	Takouba	-	-	-	-	infantry	heavy	heavy	English	main_infantry	-	-	Dismounted_Feudal_Knights	48	0	1.2	-	-	-	-	-	-	-	-	-	sea_faring, hide_forest, hardy, can_withdraw, general_unit	 1.2, 1.2	2.4, 2.4	3	square	1	0	13	3	no	0	0	melee	melee_blade	piercing	sword	,	25	1	-	-	-	no	0	0	no	0	0	no	melee_simple	blunt	none	,	25	1	-	-	-	no	7	8	6	metal	0	0	flesh	5	1	-2	3	2	-	9	normal	trained	30	0	1500	875	1	570	225	90	70	570	4	140	-	3, 4	Dismounted_Feudal_Knights	moors	moors	moors	moors	-	1
