de_name	de_name_caps	event_name_display	@event_description	de_type	Remove cell before coding	de_date	de_movie	#de_regions	de_position	#de_position_x	#de_position_y
Event Name	Event Name CAPS	Event Name In-game	Description	Event Type	reference type	Event Date	Event Movie	Event Regions Affected	Positions?	Event Positions Affected (x)	Event Positions Affected (y)
first_windmill	FIRST_WINDMILL	test 1	test 1 description			1	-	-	no	-	-
											
aarons_flood		St. Aarons Flood			disaster	680		Utrecht_Province			
abelard_opens_school		Pierre Abélard opens his school in Paris.	Pierre Abélard opens his school in Paris.		social effect	66					
aberacht_activated											
agathas_flood		St. Agatha flood			disaster	416		Ghent_Province, Utrecht_Province			
aleppo_earthquake		1138 Aleppo earthquake			disaster	116		Aleppo_Province			
all_saints_flood		All Saints' Flood				180		Ghent_Province, Utrecht_Province, Ribe_Province			
althing_literate			In Iceland, the Althing decides that the laws should be transferred to a written form.		social effect	40					
anglo_iceland_1419		English unrest in Iceland	    * English violence breaks out in Iceland, as the local merchants continue to push for political power.		rebel unrest	678		Skalholt_Province			
anglo_iceland_1420		English unrest in Iceland	Thorleif Arnason, sailing to complain to the King about the English, is attacked by an English ship, before making it to Norway. The Englishmen from Hull loot and pillage in Iceland. 		rebel unrest	680		Skalholt_Province			
anglo_iceland_1422_23		English unrest in Iceland	The Englishmen from Hull attack and rob the Royal farm at Bessastaðir. 		rebel unrest	684		Skalholt_Province			
anglo_iceland_1425		English unrest in Iceland	Englishmen from Hull capture the governor of Iceland and his deputy. 		rebel unrest	690		Skalholt_Province			
anglo_iceland_1426		English unrest in Iceland	    * John Williamson Craxton is named Bishop of Holar.		rebel unrest	692		Skalholt_Province			
anglo_iceland_1429		English unrest in Iceland	    * Five Icelandic boys and three girls are found to have been sold into slavery in Bristol.     * Eleven Icelandic children arrive in Lynn and are being sold into slavery when they are discovered by Bishop Jon Gereksson of Skalholt, who happens to be in Lynn. He removes the children from Lynn and takes them home. 		rebel unrest	698		Skalholt_Province			
anglo_iceland_1432		English unrest in Iceland	    * King Eirik orders the English to free and return any people taken from northern countries. Bishop Jon Gereksson of Skalholt is dragged from his own cathedral in Iceland and drowned by irate Icelanders.		rebel unrest	704		Skalholt_Province			
annus_jubileus			Year of jubilee, Holy Year, established by Boniface VIII in 1300 to be held once a hundred years, but during time the interval shortened until it was merely 25 years or even at the him of the Pope as long as the year was generally correct. During jubilee, a complete remission of sins was granted to pilgrims visiting Rome who visited a certain number of the most important churches there. Pilgrims from all over Christendom descended on Rome, including Dante, St. Birgitta of Sweden and the poet Petrarch. Villani describes the indulgence connected with this jubilee as a full and entire remission of all sins di culpa e di pena (Italian: of guilt and of punishment), and he dwells upon the great contentment and good order of the people, despite the fact that during the greater part of that year there were two hundred thousand pilgrims on an average present in Rome over and above the ordinary population.		social effect	440		Rome_Province			
