PSF Region	PSFs PSF Name	PSF Name (in-game)	x	y	PSF Ownership in 1080	PSF Value	PSF Garrison Ancillary Image	PSF Garrison?	PSF Garrison Unit	PSF Appearance (culture)	Actual Appearance	PSF Battle Model
psf_region	psf_name	psf_name_display	psf_x_co	psf_y_co	psf_ownership	psf_income	psf_image	psf_gar	psf_gar_unit	psf_culture	psf_actual_appearance	psf_battle_model
Aberffraw_Province	Pembroke	Cwmwd Penfro	101	282	slave	500	default_title.tga	yes	Peasants	central_european	small castle / N European small castle	stone_fort_a
Aberffraw_Province	Llanrwst	Llanrwst	105	294	slave	500	default_title.tga	yes	Peasants	southern_european	village / N European village	stone_fort_a
Aberffraw_Province	Dinefwr	Dinefwr	106	284	slave	500	default_title.tga	yes	Peasants	central_european	castle / N European castle	stone_fort_a
Aberffraw_Province	Denbigh	Denbigh	109	295	slave	500	default_title.tga	yes	Peasants	central_european	castle / N European castle	stone_fort_a
Aberffraw_Province	Brecon	Aberhonddu	110	286	slave	500	default_title.tga	yes	Peasants	southern_european	Town / N European town	stone_fort_a
Aberffraw_Province	Mathrafal	Mathrafal	110	290	slave	500	default_title.tga	yes	Peasants	northern_european	large town / N European large town	stone_fort_a
Aberffraw_Province	Cardiff	Cardiff	111	282	slave	500	default_title.tga	yes	Peasants	central_european	N European small castle	stone_fort_a
Aberffraw_Province	Oswestry	Oswestry	111	292	slave	500	default_title.tga	yes	Peasants	southern_european	small town/ N European small town 	stone_fort_a
Aberffraw_Province	St_Davids	Mynyw	100	284	slave	500	default_title.tga	yes	Peasants	southern_european	religious / N European small town	stone_fort_a
Aberffraw_Province	Aberystwyth	Aberystwyth	106	288	slave	500	default_title.tga	yes	Peasants	central_european	castle / N European castle	stone_fort_a
Aberffraw_Province	Swansea	Sweyneshe	107	281	slave	500	default_title.tga	yes	Peasants	southern_european	town / N European town	stone_fort_a
Aden_Province	Lahej	Lahej	411	6	slave	500	default_title.tga	yes	Peasants	eastern_european	no info	stone_fort_a
Aden_Province	Zinjibar	Zinjibar	414	5	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME city	stone_fort_a
Aden_Province	Bayda_Yemen	Bayda	415	10	slave	500	default_title.tga	yes	Peasants	eastern_european	no info	stone_fort_a
Aden_Province	Ahwar	Ahwar	422	8	slave	500	default_title.tga	yes	Peasants	eastern_european	ME large town	stone_fort_a
Aden_Province	Shabwah	Shabwah	423	14	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME city	stone_fort_a
Aden_Province	Qabr_Hud	Qabr Hud	435	25	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME city	stone_fort_a
Aden_Province	Al_Mukalla	Al Mukalla	437	17	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME City	stone_fort_a
Aden_Province	Ash_Shihr	Ash Shihr	440	16	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME city	stone_fort_a
Aden_Province	Thamud	Thamud	441	32	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME city	stone_fort_a
Aden_Province	Hadhramaut	Hadhramaut	436	23	slave	500	default_title.tga	yes	Peasants	middle_eastern	ME city	stone_fort_a
Aix_Province	Avignon	Avignon	157	220	france	500	default_title.tga	yes	Peasants	northern_european	city / S European city	stone_fort_a
Aix_Province	Arles	Arles	157	217	hre	500	default_title.tga	yes	Peasants	northern_european	City / S European city	stone_fort_a
Aix_Province	Forcalquier	Forcalquier	162	219	hre	500	default_title.tga	yes	Peasants	northern_european	city / S European city	stone_fort_a
Aix_Province	Tallard	Tallard	163	223	hre	500	default_title.tga	yes	Peasants	northern_european	town / SE core_building 1	stone_fort_a
Aix_Province	Toulon	Toulon	164	213	hre	500	default_title.tga	yes	Peasants	northern_european	city / SE	stone_fort_a
Aix_Province	Nice	Nice	172	218	slave	500	default_title.tga	yes	Peasants	greek	City / S European city	stone_fort_a
Aksum_Province	Gondar	Gondar	365	1	slave	500	default_title.tga	yes	Peasants	northern_european	steppe large town	stone_fort_a
Aksum_Province	Shire	Shire	368	12	slave	500	default_title.tga	yes	Peasants	northern_european	Greek Large Town	stone_fort_a
Aksum_Province	Wag	Wag	372	0	slave	500	default_title.tga	yes	Peasants	northern_european	Greek Large Town	stone_fort_a
Aksum_Province	Soqota	Soqota	373	2	slave	500	default_title.tga	yes	Peasants	northern_european	Greek Large Town	stone_fort_a
Aksum_Province	Yeha	Yeha	374	12	slave	500	default_title.tga	yes	Peasants	greek	Orthodox city	stone_fort_a
Aksum_Province	Mekele	Mek'ele	376	7	slave	500	default_title.tga	yes	Peasants	greek	Greek Large City	stone_fort_a
Aksum_Province	Adulis	Adulis	377	21	slave	500	default_title.tga	yes	Peasants	southern_european	Orthodox castle	stone_fort_a
Aksum_Province	Massawa	Massawa	375	21	egypt	500	default_title.tga	yes	Peasants	northern_european	large town important trade post	stone_fort_a
Aksum_Province	Teseney	Teseney	358	18	slave	500	default_title.tga	yes	Peasants	southern_european	no info	stone_fort_a
Aksum_Province	Akordat	Akordat	366	21	slave	500	default_title.tga	yes	Peasants	southern_european	no info	stone_fort_a
Aksum_Province	Debre_Abbay	Debre Abbay	367	10	slave	500	default_title.tga	yes	Peasants	southern_european	Greek religious*	stone_fort_a
Aksum_Province	Sele_Leha	Seleh Leha	370	11	slave	500	default_title.tga	yes	Peasants	northern_european	Greek town	stone_fort_a
Aksum_Province	Debarwa	Debarwa	373	17	slave	500	default_title.tga	yes	Peasants	northern_european	Orthodox large town	stone_fort_a
Aksum_Province	Adwa	Adwa	374	10	slave	500	default_title.tga	yes	Peasants	northern_european	Greek town	stone_fort_a
Aksum_Province	Asmara	Asmara	374	19	slave	500	default_title.tga	yes	Peasants	southern_european	Orthodox town	stone_fort_a
Aksum_Province	Debre_Damo	Debre Damo	375	14	slave	500	default_title.tga	yes	Peasants	southern_european	Greek motte and bailey	stone_fort_a
Aksum_Province	Adigrat	Adigrat	376	12	slave	500	default_title.tga	yes	Peasants	southern_european	no info	stone_fort_a
Aksum_Province	Wukro	Wukro	377	9	slave	500	default_title.tga	yes	Peasants	northern_european	Greek Town	stone_fort_a
Aksum_Province	Idaga_Hamus	Idaga Hamus	378	11	slave	500	default_title.tga	yes	Peasants	northern_european	Greek town	stone_fort_a
Aksum_Province	Qwiha	Qwiha	378	6	slave	500	default_title.tga	yes	Peasants	southern_european	Greek Town	stone_fort_a
