Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
shared_reference	@shared_display	tooltips_reference	@tooltips_display	strat_reference	@strat_display	@quotes_quote	@quotes_author	export_buildings_reference	export_buildings_display	expanded_reference	expanded_display
ST_SLAVES	Minor Factions	TMT_SETTLEMENT_INCOME	Settlement Income	SMT_END_TURN	End turn	I will rule them by fixed laws so that rest and happiness shall prevail in the world.	Genghis Khan, after being named khan	generic_repair	REPAIR	EMT_WEATHER_PATTERN_BLIZZARD	Blizzard
ST_YES	Yes	TMT_LOYALTY_TOOLTIP_REVOLTING	Loyalty: Potential for revolt	SMT_SABOTAGE	Sabotage	The pleasure and joy of man lies in treading down the rebel and conquering the enemy, in tearing him up by the root, in taking from him all that he has	Genghis Khan	generic_repair_desc	REPAIR DAMAGE TO BUILDING	EMT_WEATHER_PATTERN_CLEAR	Clear
ST_NO	No	TMT_LOYALTY_TOOLTIP_RIOTING	Loyalty: Potential for riots	SMT_ASSASSINATE	Assassinate	Honour is nothing without victory	Subedei, general of Genghis Khan	generic_repair_desc_short	REPAIR DAMAGE TO BUILDING	EMT_WEATHER_PATTERN_CLEAR_ARID	Clear
ST_ACCEPT	Accept	TMT_LOYALTY_TOOLTIP_DISILLUSIONED	Loyalty: Disillusioned	SMT_SETTLEMENTS	Settlements	Send us your ambassadors: and thus we shall judge whether you wish to be at peace...if you make war on us, the Everlasting God, who makes easy what was difficult and makes near what was far, knows that we know what our power is.	Mongke Khan to King Louis IX of France	generic_dismantle	DISMANTLE	EMT_WEATHER_PATTERN_CLEAR_WINTER	Clear
ST_DECLINE	Decline	TMT_LOYALTY_TOOLTIP_CONTENT	Loyalty: Content	SMT_CAPITAL	Capital city:	I do not understand these words of yours. Tengri has slain and annihilated these people, because they had adhered neither to Genghis Khan nor to the Khakhan both of whom have been sent to make known Gods command.	Guyuk Khan to the Pope 	generic_dismantle_desc	DISMANTLE BUILDING, RECOUPING SOME OF THE VALUE OF THE BUILDING	EMT_WEATHER_PATTERN_CLOUDY	Cloudy
ST_CONTINUE	Continue	TMT_LOYALTY_TOOLTIP_HAPPY	Loyalty: Happy	SMT_ALLIES	Allies	There came into the world a blue-grey wolf whose destiny was Heaven's will.	The Opening Lines of the Secret History of the Mongols	generic_dismantle_desc_short	DISMANTLE BUILDING, RECOUPING SOME OF THE VALUE OF THE BUILDING	EMT_WEATHER_PATTERN_CLOUDY_ARID	Cloudy
ST_FACTION	Faction	TMT_GROWTH_TOOLTIP_GROWTH	Population: Increasing	SMT_ENEMIES	Enemies	I am the Scourge of God. If you had not committed great sins, God would not have sent a punishment like me upon You.	Genghis Khan, during his campaign in Persia	settlement_upgrade_fort	UPGRADE FORT	EMT_WEATHER_PATTERN_CLOUDY_WINTER	Cloudy
ST_DEFEAT_CLOSE	Close Defeat	TMT_GROWTH_TOOLTIP_STATIC	Population: No Growth	SMT_SUSPICIOUS	Suspicious	A man's greatest work is to break his enemies, to drive them before him, to take from them all the things that have been theirs, to hear the weeping of those who cherished them.	Genghis Khan	settlement_upgrade_fort_desc	UPGRADE FORT TO A VILLAGE	EMT_WEATHER_PATTERN_DUSTY	Dust Storm
ST_DEFEAT_AVERAGE	Average Defeat	TMT_GROWTH_TOOLTIP_DECLINING	Population: Decreasing	SMT_NEUTRAL	Neutral	Be of one mind and one faith, that you may conquer your enemies and lead long and happy lives.	Genghis Khan	settlement_upgrade_fort_desc_short	UPGRADE FORT TO A VILLAGE	EMT_WEATHER_PATTERN_HEAVY_FOG	Heavy Fog
ST_DEFEAT_CLEAR	Clear Defeat	TMT_SETTLEMENT_STATUS_TRAINING	Currently training units	SMT_HOSTILE	Hostile	All who surrender will be spared; whoever does not surrender but opposed with struggle and dissension, shall be annihilated.	Genghis Khan, during the war with the Khwarezmian Empire	settlement_upgrade_village	UPGRADE VILLAGE	EMT_WEATHER_PATTERN_HEAVY_FOG_WINTER	Heavy Fog
ST_DEFEAT_CRUSHING	Crushing Defeat	TMT_SETTLEMENT_STATUS_BUILDING	Currently constructing buildings	SMT_AT_WAR	At war	To no man will we sell, or deny, or delay, right or justice.	The Magna Carta	settlement_upgrade_village_desc	UPGRADE VILLAGE TO TOWN	EMT_WEATHER_PATTERN_LIGHT_FOG	Light Fog
ST_VICTORY_DRAW	Draw	TMT_LCLICK_FOR_BUILD_OPTIONS	Left-click to see upgrade options for this building	SMT_NIGHT_ATTACK	Attempt a night attack	Also say unto them, that they suffre hym this day to wynne his spurres, for if God be pleased, I woll this journey be his, and the honoure therof.	King Edward III of England, speaking of The Black Prince at Crécy	settlement_upgrade_village_desc_short	UPGRADE VILLAGE TO TOWN	EMT_WEATHER_PATTERN_LIGHT_FOG_WINTER	Light Fog
ST_VICTORY_CLOSE	Close Victory	TMT_CONSTRUCTION_HELP	Left-click to add to queue	SMT_TRADE_RIGHTS	Trade rights	And whan a beest is deed he hath no peyne; But man after his deeth moot wepe and pleyne.	Geoffrey Chaucer in The Canterbury Tales	settlement_upgrade_town	UPGRADE TOWN	EMT_WEATHER_PATTERN_RAIN	Raining
ST_VICTORY_AVERAGE	Average Victory	TMT_CONSTRUCTION_REMOVE_HELP	Left-click to remove from queue	SMT_SIEGE	Maintain siege	There is the Music of Heaven in all things and we have forgotten how to hear it until we sing. 	Hildegard of Bingen	settlement_upgrade_town_desc	UPGRADE TOWN TO A LARGE TOWN	EMT_WEATHER_PATTERN_SNOW	Snow
ST_VICTORY_CLEAR	Clear Victory	TMT_COST_OF_CONSTRUCTION	Cost to construct item	SMT_ASSAULT	Assault	The earth which sustains humanity must not be injured, it must not be destroyed.	Hildegard of Bingen	settlement_upgrade_town_desc_short	UPGRADE TOWN TO A LARGE TOWN	EMT_WEATHER_PATTERN_STORM	Thunder Storm
