Trait Type	Trait Character Types Eligibility	Cultures Excluded for the Trait	Irreversible Level (Level No.)	Hidden Trait or Description?	Anti-Traits	Trait Level	Level Name	In-game Level Name	In-game Level Description	Level Threshold	Level Effects	Level Effects Description	Message When This Level is Gained	Message When This Level is Lost	Character Name Epithet
edct_trait_type	edct_trait_characters	edct_exclude_cultures	edct_no_going_back_level	edct_hidden	edct_antitraits	edct_level	edct_level_name	@trait_level_name_display	@trait_level_description	edct_level_threshold	#edct_level_effects	@trait_level_effects_description	@trait_level_gain_message	@trait_level_lose_message	@trait_level_epiphet
Immobility	princess	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
Immobility	-	-	-	yes	-	1	immobility_lvl1	-	-	1	MovementPoints -100	-	-	-	-
First_Appearance	all	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
First_Appearance	-	-	-	yes	-	1	first_appearance	-	-	1	-	-	-	-	-
ExtremeFertility	family, princess	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
ExtremeFertility	-	-	-	yes	-	1	extreme_fertility_lvl1	-	-	1	Fertility 7	-	-	-	-
Loyal	family	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
Loyal	-	-	-	yes	-	1	loyal_lvl1	-	-	1	Loyalty 3	-	-	-	-
SmartFamily	family	-	-	no	IgnorantFamily	0	-	-	-	-	-	-	-	-	-
SmartFamily	-	-	-	no	-	1	smart_family	Smart	Generally smarter and rational than others - maybe too much to believe without question.	1	Command 1, Construction 2, TaxCollection 2, Farming 2, Trading 2, TrainingAgents 2, TrainingUnits 2, Piety -1	Command +1, Piety -1, farming and trading output +2 %, construction and trainning costs -2 %	-	-	-
SmartPrincess	princess	-	-	no	IgnorantPrincess	0	-	-	-	-	-	-	-	-	-
SmartPrincess	-	-	-	no	-	1	smart_princess	Smart	Generally smarter and more intelligent than most ladies of the court.	1	Charm 1	Charm +1	-	-	-
SmartSpy	spy	-	-	no	IgnorantSpy	0	-	-	-	-	-	-	-	-	-
SmartSpy	-	-	-	no	-	1	smart_spy	Smart	Generally smarter and creative than others.	1	Subterfuge 1, Sabotage 1	Subterfuge +1, Sabotage +1	-	-	-
SmartAssassin	assassin	-	-	no	IgnorantAsassin	0	-	-	-	-	-	-	-	-	-
SmartAssassin	-	-	-	no	-	1	smart_assassin	Smart	Generally smarter and creative than others.	1	Assassination 1, PersonalSecurity 1	Assassination +1, Personal Security +1	-	-	-
SmartDiplomat	diplomat	-	-	no	IgnorantDiplomat	0	-	-	-	-	-	-	-	-	-
SmartDiplomat	-	-	-	no	-	1	smart_diplomat	Smart	Generally smart when arguing with with others.	1	Influence 1	Influence +1	-	-	-
SmartPriest	priest	-	-	no	IgnorantPriest	0	-	-	-	-	-	-	-	-	-
SmartPriest	-	-	-	no	-	1	smart_priest	Smart	Generally smarter and rational than others - maybe too much to believe without question.	1	Piety -1, Unorthodoxy 1	Piety -1, Unorthodoxy +1	-	-	-
IgnorantFamily	family	-	-	no	SmartFamily	0	-	-	-	-	-	-	-	-	-
IgnorantFamily	-	-	-	no	-	1	ignorant_family	Dim-witted	Somwaht simple minded and slow to comprehend. But also more pious as a result.	1	Command -1, Construction -2, TaxCollection -2, Farming -2, Trading -2, TrainingAgents -2, TrainingUnits -2, Piety 2	Command -1, Piety +2, farming and trading output -2 %, construction and trainning costs +2 %	-	-	-
IgnorantPrincess	princess	-	-	no	SmartPrincess	0	-	-	-	-	-	-	-	-	-
IgnorantPrincess	-	-	-	no	-	1	ignorant_princess	Dim-witted	Somwaht simple minded and slow to comprehend what is going on at the court.	1	Charm -1	Charm -1	-	-	-
IgnoranttSpy	spy	-	-	no	SmartSpy	0	-	-	-	-	-	-	-	-	-
IgnoranttSpy	-	-	-	no	-	1	ignorant_spy	Dim-witted	Somwaht simple minded and not very creative at his job.	1	Subterfuge -1, Sabotage -1	Subterfuge -1, Sabotage -1	-	-	-
IgnorantAssassin	assassin	-	-	no	SmartAssassin	0	-	-	-	-	-	-	-	-	-
IgnorantAssassin	-	-	-	no	-	1	ignorant_assassin	Dim-witted	Somwaht simple minded and not very creative at his job.	1	Assassination -1, PersonalSecurity -1	Assassination -1, Personal Security -1	-	-	-
IgnorantDiplomat	diplomat	-	-	no	SmartDiplomat	0	-	-	-	-	-	-	-	-	-
IgnorantDiplomat	-	-	-	no	-	1	ignorant_diplomat	Dim-witted	Somwaht simple minded and slow to comprehend others.	1	Influence -1	Influence -1	-	-	-
IgnorantPriest	priest	-	-	no	SmartPriest	0	-	-	-	-	-	-	-	-	-
IgnorantPriest	-	-	-	no	-	1	ignorant_priest	Dim-witted	Somwaht simple minded and slow to comprehend. But also more pious as a result.	1	Piety +2, Unorthodoxy -1	Piety +2, Unorthodoxy -1	-	-	-
Strong	all	-	-	no	Weak	0	-	-	-	-	-	-	-	-	-
Strong	-	-	-	no	-	1	strong	Strong	Naturally strong and resilient to the hardships of the world.	1	Health 1	Health +1	-	-	-
Weak	all	-	-	no	Strong	0	-	-	-	-	-	-	-	-	-
Weak	-	-	-	no	-	1	weak	Weak	Somewhat weak constitution and health.	1	Health 1	Health -1	-	-	-
Homosexual	family, princess	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Homosexual	-	-	-	no	-	1	homosexual	Homosexual	Attracted to the same sex.	1	Fertility -5	Decreases chance of conception.	-	-	-
Sexuality	family, priest	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Sexuality	-	-	-	no	-	1	deviant	Odd in sex	Has some unusual sexual desires.	1	Piety -1	Piety -1	-	-	-
Sexuality	-	-	-	no	-	2	pervert	Pervert	Has some unacceptable sexual desires.	2	Piety -2	Piety -2	-	-	-
															
PhysicalDefectDiplo	diplomat	-	-	no	PhysicalPerfectDiplo	0	-	-	-	-	-	-	-	-	-
PhysicalDefectDiplo	-	-	1	no	-	1	PhysicalDefectDiplo	Physical Defect	This man has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Influence -1	Influence -1	-	-	-
PhysicalPerfectDiplo	diplomat	-	-	no	PhysicalDefectDiplo	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectDiplo	-	-	-	no	-	1	PhysicalPerfectDiplo	Particular Beauty	This man has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Influence 1	Influence +1	-	-	-
PhysicalDefectPrincess	princess	-	-	no	PhysicalPerfectPrincess	0	-	-	-	-	-	-	-	-	-
PhysicalDefectPrincess	-	-	1	no	-	1	PhysicalDefectPrincess	Physical Defect	This woman has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Charm -1, Fertility -1	Charm -1, Fertility -1	-	-	-
PhysicalPerfectPrincess	princess	-	-	no	PhysicalDefectPrincess	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectPrincess	-	-	-	no	-	1	PhysicalPerfectPrincess	Particular Beauty	This woman has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Charm 1, Fertility 1	Charm +1, Fertility +1	-	-	-
PhysicalDefectPriest	priest	-	-	no	PhysicalPerfectPriest	0	-	-	-	-	-	-	-	-	-
